Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
24/12/2025;10:03:51;Voiture;Comedie;392;664;Open;43.60856092;3.87976196
24/12/2025;10:03:51;Voiture;Corum;333;480;Open;43.61388821;3.88225773
24/12/2025;10:03:51;Voiture;Europa;391;591;Open;43.60784971;3.89253074
24/12/2025;10:03:51;Voiture;Foch;405;620;Open;43.61074912;3.87657084
24/12/2025;10:03:51;Voiture;Gambetta;201;452;Open;43.60695138;3.87137436
24/12/2025;10:03:51;Voiture;Gare;463;656;Open;43.604024;3.87891
24/12/2025;10:03:51;Voiture;Triangle;277;434;Open;43.60923384;3.88184418
24/12/2025;10:03:51;Voiture;Pitot;395;590;Open;43.61224494;3.87019117
24/12/2025;10:03:51;Voiture;Circe;1033;1200;Open;43.60495377;3.9178495
24/12/2025;10:03:51;Voiture;Garcia Lorca;363;400;Open;43.59098509;3.8907158
24/12/2025;10:03:51;Voiture;Mosson;251;328;Open;43.61623716;3.81966554
24/12/2025;10:03:51;Voiture;Sabines;142;285;Open;43.58383263;3.8602246
24/12/2025;10:03:51;Voiture;Sablassou;237;379;Open;43.63419194;3.92229536
24/12/2025;10:03:51;Voiture;Saint Jean Le Sec;223;285;Open;43.57082225;3.8379312
24/12/2025;10:03:51;Voiture;Euromedecine;176;239;Open;43.63895359;3.82772365
24/12/2025;10:03:51;Voiture;Occitanie;493;615;Open;43.63456232;3.84859796
24/12/2025;10:03:51;Voiture;Vicarello;12;64;Open;43.63286;3.898411
24/12/2025;10:03:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;10:03:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;10:03:51;Voiture;Charles de Gaulle;157;260;Open;43.6285421;3.8977621
24/12/2025;10:03:51;Voiture;Polygone;1204;1911;Open;43.607697;3.88515
24/12/2025;10:03:51;Voiture;Arc de Triomphe;116;440;Open;43.61100267;3.8732007
24/12/2025;10:03:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;10:13:51;Voiture;Antigone;167;239;Open;43.60871606;3.88881893
24/12/2025;10:13:51;Voiture;Comedie;390;664;Open;43.60856092;3.87976196
24/12/2025;10:13:51;Voiture;Corum;318;480;Open;43.61388821;3.88225773
24/12/2025;10:13:51;Voiture;Europa;392;591;Open;43.60784971;3.89253074
24/12/2025;10:13:51;Voiture;Foch;388;620;Open;43.61074912;3.87657084
24/12/2025;10:13:51;Voiture;Gambetta;200;452;Open;43.60695138;3.87137436
24/12/2025;10:13:51;Voiture;Gare;460;656;Open;43.604024;3.87891
24/12/2025;10:13:51;Voiture;Triangle;266;434;Open;43.60923384;3.88184418
24/12/2025;10:13:51;Voiture;Pitot;375;590;Open;43.61224494;3.87019117
24/12/2025;10:13:51;Voiture;Circe;1025;1200;Open;43.60495377;3.9178495
24/12/2025;10:13:51;Voiture;Garcia Lorca;363;400;Open;43.59098509;3.8907158
24/12/2025;10:13:51;Voiture;Mosson;250;328;Open;43.61623716;3.81966554
24/12/2025;10:13:51;Voiture;Sabines;140;285;Open;43.58383263;3.8602246
24/12/2025;10:13:51;Voiture;Sablassou;232;379;Open;43.63419194;3.92229536
24/12/2025;10:13:51;Voiture;Saint Jean Le Sec;223;285;Open;43.57082225;3.8379312
24/12/2025;10:13:51;Voiture;Euromedecine;174;239;Open;43.63895359;3.82772365
24/12/2025;10:13:51;Voiture;Occitanie;489;615;Open;43.63456232;3.84859796
24/12/2025;10:13:51;Voiture;Vicarello;8;64;Open;43.63286;3.898411
24/12/2025;10:13:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;10:13:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;10:13:51;Voiture;Charles de Gaulle;156;260;Open;43.6285421;3.8977621
24/12/2025;10:13:51;Voiture;Polygone;1126;1911;Open;43.607697;3.88515
24/12/2025;10:13:51;Voiture;Arc de Triomphe;106;440;Open;43.61100267;3.8732007
24/12/2025;10:13:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;10:23:51;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
24/12/2025;10:23:51;Voiture;Comedie;384;664;Open;43.60856092;3.87976196
24/12/2025;10:23:51;Voiture;Corum;315;480;Open;43.61388821;3.88225773
24/12/2025;10:23:51;Voiture;Europa;393;591;Open;43.60784971;3.89253074
24/12/2025;10:23:51;Voiture;Foch;374;620;Open;43.61074912;3.87657084
24/12/2025;10:23:51;Voiture;Gambetta;190;452;Open;43.60695138;3.87137436
24/12/2025;10:23:51;Voiture;Gare;422;656;Open;43.604024;3.87891
24/12/2025;10:23:51;Voiture;Triangle;261;434;Open;43.60923384;3.88184418
24/12/2025;10:23:51;Voiture;Pitot;361;590;Open;43.61224494;3.87019117
24/12/2025;10:23:51;Voiture;Circe;1017;1200;Open;43.60495377;3.9178495
24/12/2025;10:23:51;Voiture;Garcia Lorca;363;400;Open;43.59098509;3.8907158
24/12/2025;10:23:51;Voiture;Mosson;245;328;Open;43.61623716;3.81966554
24/12/2025;10:23:51;Voiture;Sabines;145;285;Open;43.58383263;3.8602246
24/12/2025;10:23:51;Voiture;Sablassou;228;379;Open;43.63419194;3.92229536
24/12/2025;10:23:51;Voiture;Saint Jean Le Sec;221;285;Open;43.57082225;3.8379312
24/12/2025;10:23:51;Voiture;Euromedecine;174;239;Open;43.63895359;3.82772365
24/12/2025;10:23:51;Voiture;Occitanie;485;615;Open;43.63456232;3.84859796
24/12/2025;10:23:51;Voiture;Vicarello;11;64;Open;43.63286;3.898411
24/12/2025;10:23:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;10:23:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;10:23:51;Voiture;Charles de Gaulle;155;260;Open;43.6285421;3.8977621
24/12/2025;10:23:51;Voiture;Polygone;1036;1911;Open;43.607697;3.88515
24/12/2025;10:23:51;Voiture;Arc de Triomphe;93;440;Open;43.61100267;3.8732007
24/12/2025;10:23:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;10:33:51;Voiture;Antigone;166;239;Open;43.60871606;3.88881893
24/12/2025;10:33:51;Voiture;Comedie;378;664;Open;43.60856092;3.87976196
24/12/2025;10:33:51;Voiture;Corum;312;480;Open;43.61388821;3.88225773
24/12/2025;10:33:51;Voiture;Europa;392;591;Open;43.60784971;3.89253074
24/12/2025;10:33:51;Voiture;Foch;360;620;Open;43.61074912;3.87657084
24/12/2025;10:33:51;Voiture;Gambetta;189;452;Open;43.60695138;3.87137436
24/12/2025;10:33:51;Voiture;Gare;430;656;Open;43.604024;3.87891
24/12/2025;10:33:51;Voiture;Triangle;257;434;Open;43.60923384;3.88184418
24/12/2025;10:33:51;Voiture;Pitot;358;590;Open;43.61224494;3.87019117
24/12/2025;10:33:51;Voiture;Circe;1015;1200;Open;43.60495377;3.9178495
24/12/2025;10:33:51;Voiture;Garcia Lorca;363;400;Open;43.59098509;3.8907158
24/12/2025;10:33:51;Voiture;Mosson;247;328;Open;43.61623716;3.81966554
24/12/2025;10:33:51;Voiture;Sabines;142;285;Open;43.58383263;3.8602246
24/12/2025;10:33:51;Voiture;Sablassou;229;379;Open;43.63419194;3.92229536
24/12/2025;10:33:51;Voiture;Saint Jean Le Sec;219;285;Open;43.57082225;3.8379312
24/12/2025;10:33:51;Voiture;Euromedecine;173;239;Open;43.63895359;3.82772365
24/12/2025;10:33:51;Voiture;Occitanie;482;615;Open;43.63456232;3.84859796
24/12/2025;10:33:51;Voiture;Vicarello;10;64;Open;43.63286;3.898411
24/12/2025;10:33:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;10:33:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;10:33:51;Voiture;Charles de Gaulle;154;260;Open;43.6285421;3.8977621
24/12/2025;10:33:51;Voiture;Polygone;994;1911;Open;43.607697;3.88515
24/12/2025;10:33:51;Voiture;Arc de Triomphe;80;440;Open;43.61100267;3.8732007
24/12/2025;10:33:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;10:43:51;Voiture;Antigone;166;239;Open;43.60871606;3.88881893
24/12/2025;10:43:51;Voiture;Comedie;366;664;Open;43.60856092;3.87976196
24/12/2025;10:43:51;Voiture;Corum;306;480;Open;43.61388821;3.88225773
24/12/2025;10:43:51;Voiture;Europa;391;591;Open;43.60784971;3.89253074
24/12/2025;10:43:51;Voiture;Foch;350;620;Open;43.61074912;3.87657084
24/12/2025;10:43:51;Voiture;Gambetta;193;452;Open;43.60695138;3.87137436
24/12/2025;10:43:51;Voiture;Gare;449;656;Open;43.604024;3.87891
24/12/2025;10:43:51;Voiture;Triangle;252;434;Open;43.60923384;3.88184418
24/12/2025;10:43:51;Voiture;Pitot;345;590;Open;43.61224494;3.87019117
24/12/2025;10:43:51;Voiture;Circe;1006;1200;Open;43.60495377;3.9178495
24/12/2025;10:43:51;Voiture;Garcia Lorca;363;400;Open;43.59098509;3.8907158
24/12/2025;10:43:51;Voiture;Mosson;247;328;Open;43.61623716;3.81966554
24/12/2025;10:43:51;Voiture;Sabines;143;285;Open;43.58383263;3.8602246
24/12/2025;10:43:51;Voiture;Sablassou;225;379;Open;43.63419194;3.92229536
24/12/2025;10:43:51;Voiture;Saint Jean Le Sec;217;285;Open;43.57082225;3.8379312
24/12/2025;10:43:51;Voiture;Euromedecine;172;239;Open;43.63895359;3.82772365
24/12/2025;10:43:51;Voiture;Occitanie;478;615;Open;43.63456232;3.84859796
24/12/2025;10:43:51;Voiture;Vicarello;11;64;Open;43.63286;3.898411
24/12/2025;10:43:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;10:43:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;10:43:51;Voiture;Charles de Gaulle;155;260;Open;43.6285421;3.8977621
24/12/2025;10:43:51;Voiture;Polygone;974;1911;Open;43.607697;3.88515
24/12/2025;10:43:51;Voiture;Arc de Triomphe;72;440;Open;43.61100267;3.8732007
24/12/2025;10:43:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;10:53:51;Voiture;Antigone;166;239;Open;43.60871606;3.88881893
24/12/2025;10:53:51;Voiture;Comedie;366;664;Open;43.60856092;3.87976196
24/12/2025;10:53:51;Voiture;Corum;296;480;Open;43.61388821;3.88225773
24/12/2025;10:53:51;Voiture;Europa;388;591;Open;43.60784971;3.89253074
24/12/2025;10:53:51;Voiture;Foch;353;620;Open;43.61074912;3.87657084
24/12/2025;10:53:51;Voiture;Gambetta;195;452;Open;43.60695138;3.87137436
24/12/2025;10:53:51;Voiture;Gare;450;656;Open;43.604024;3.87891
24/12/2025;10:53:51;Voiture;Triangle;243;434;Open;43.60923384;3.88184418
24/12/2025;10:53:51;Voiture;Pitot;331;590;Open;43.61224494;3.87019117
24/12/2025;10:53:51;Voiture;Circe;1003;1200;Open;43.60495377;3.9178495
24/12/2025;10:53:51;Voiture;Garcia Lorca;363;400;Open;43.59098509;3.8907158
24/12/2025;10:53:51;Voiture;Mosson;249;328;Open;43.61623716;3.81966554
24/12/2025;10:53:51;Voiture;Sabines;137;285;Open;43.58383263;3.8602246
24/12/2025;10:53:51;Voiture;Sablassou;224;379;Open;43.63419194;3.92229536
24/12/2025;10:53:51;Voiture;Saint Jean Le Sec;217;285;Open;43.57082225;3.8379312
24/12/2025;10:53:51;Voiture;Euromedecine;173;239;Open;43.63895359;3.82772365
24/12/2025;10:53:51;Voiture;Occitanie;471;615;Open;43.63456232;3.84859796
24/12/2025;10:53:51;Voiture;Vicarello;12;64;Open;43.63286;3.898411
24/12/2025;10:53:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;10:53:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;10:53:51;Voiture;Charles de Gaulle;151;260;Open;43.6285421;3.8977621
24/12/2025;10:53:51;Voiture;Polygone;942;1911;Open;43.607697;3.88515
24/12/2025;10:53:51;Voiture;Arc de Triomphe;73;440;Open;43.61100267;3.8732007
24/12/2025;10:53:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;11:03:51;Voiture;Antigone;164;239;Open;43.60871606;3.88881893
24/12/2025;11:03:51;Voiture;Comedie;345;664;Open;43.60856092;3.87976196
24/12/2025;11:03:51;Voiture;Corum;295;480;Open;43.61388821;3.88225773
24/12/2025;11:03:51;Voiture;Europa;390;591;Open;43.60784971;3.89253074
24/12/2025;11:03:51;Voiture;Foch;347;620;Open;43.61074912;3.87657084
24/12/2025;11:03:51;Voiture;Gambetta;189;452;Open;43.60695138;3.87137436
24/12/2025;11:03:51;Voiture;Gare;443;656;Open;43.604024;3.87891
24/12/2025;11:03:51;Voiture;Triangle;232;434;Open;43.60923384;3.88184418
24/12/2025;11:03:51;Voiture;Pitot;324;590;Open;43.61224494;3.87019117
24/12/2025;11:03:51;Voiture;Circe;996;1200;Open;43.60495377;3.9178495
24/12/2025;11:03:51;Voiture;Garcia Lorca;362;400;Open;43.59098509;3.8907158
24/12/2025;11:03:51;Voiture;Mosson;244;328;Open;43.61623716;3.81966554
24/12/2025;11:03:51;Voiture;Sabines;133;285;Open;43.58383263;3.8602246
24/12/2025;11:03:51;Voiture;Sablassou;224;379;Open;43.63419194;3.92229536
24/12/2025;11:03:51;Voiture;Saint Jean Le Sec;216;285;Open;43.57082225;3.8379312
24/12/2025;11:03:51;Voiture;Euromedecine;173;239;Open;43.63895359;3.82772365
24/12/2025;11:03:51;Voiture;Occitanie;466;615;Open;43.63456232;3.84859796
24/12/2025;11:03:51;Voiture;Vicarello;6;64;Full;43.63286;3.898411
24/12/2025;11:03:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;11:03:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;11:03:51;Voiture;Charles de Gaulle;150;260;Open;43.6285421;3.8977621
24/12/2025;11:03:51;Voiture;Polygone;920;1911;Open;43.607697;3.88515
24/12/2025;11:03:51;Voiture;Arc de Triomphe;68;440;Open;43.61100267;3.8732007
24/12/2025;11:03:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;11:13:51;Voiture;Antigone;164;239;Open;43.60871606;3.88881893
24/12/2025;11:13:51;Voiture;Comedie;339;664;Open;43.60856092;3.87976196
24/12/2025;11:13:51;Voiture;Corum;284;480;Open;43.61388821;3.88225773
24/12/2025;11:13:51;Voiture;Europa;389;591;Open;43.60784971;3.89253074
24/12/2025;11:13:51;Voiture;Foch;341;620;Open;43.61074912;3.87657084
24/12/2025;11:13:51;Voiture;Gambetta;187;452;Open;43.60695138;3.87137436
24/12/2025;11:13:51;Voiture;Gare;443;656;Open;43.604024;3.87891
24/12/2025;11:13:51;Voiture;Triangle;227;434;Open;43.60923384;3.88184418
24/12/2025;11:13:51;Voiture;Pitot;308;590;Open;43.61224494;3.87019117
24/12/2025;11:13:51;Voiture;Circe;995;1200;Open;43.60495377;3.9178495
24/12/2025;11:13:51;Voiture;Garcia Lorca;362;400;Open;43.59098509;3.8907158
24/12/2025;11:13:51;Voiture;Mosson;243;328;Open;43.61623716;3.81966554
24/12/2025;11:13:51;Voiture;Sabines;128;285;Open;43.58383263;3.8602246
24/12/2025;11:13:51;Voiture;Sablassou;226;379;Open;43.63419194;3.92229536
24/12/2025;11:13:51;Voiture;Saint Jean Le Sec;217;285;Open;43.57082225;3.8379312
24/12/2025;11:13:51;Voiture;Euromedecine;170;239;Open;43.63895359;3.82772365
24/12/2025;11:13:51;Voiture;Occitanie;462;615;Open;43.63456232;3.84859796
24/12/2025;11:13:51;Voiture;Vicarello;9;64;Open;43.63286;3.898411
24/12/2025;11:13:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;11:13:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;11:13:51;Voiture;Charles de Gaulle;148;260;Open;43.6285421;3.8977621
24/12/2025;11:13:51;Voiture;Polygone;873;1911;Open;43.607697;3.88515
24/12/2025;11:13:51;Voiture;Arc de Triomphe;57;440;Open;43.61100267;3.8732007
24/12/2025;11:13:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;11:23:51;Voiture;Antigone;164;239;Open;43.60871606;3.88881893
24/12/2025;11:23:51;Voiture;Comedie;334;664;Open;43.60856092;3.87976196
24/12/2025;11:23:51;Voiture;Corum;279;480;Open;43.61388821;3.88225773
24/12/2025;11:23:51;Voiture;Europa;387;591;Open;43.60784971;3.89253074
24/12/2025;11:23:51;Voiture;Foch;340;620;Open;43.61074912;3.87657084
24/12/2025;11:23:51;Voiture;Gambetta;182;452;Open;43.60695138;3.87137436
24/12/2025;11:23:51;Voiture;Gare;448;656;Open;43.604024;3.87891
24/12/2025;11:23:51;Voiture;Triangle;222;434;Open;43.60923384;3.88184418
24/12/2025;11:23:51;Voiture;Pitot;295;590;Open;43.61224494;3.87019117
24/12/2025;11:23:51;Voiture;Circe;992;1200;Open;43.60495377;3.9178495
24/12/2025;11:23:51;Voiture;Garcia Lorca;361;400;Open;43.59098509;3.8907158
24/12/2025;11:23:51;Voiture;Mosson;244;328;Open;43.61623716;3.81966554
24/12/2025;11:23:51;Voiture;Sabines;127;285;Open;43.58383263;3.8602246
24/12/2025;11:23:51;Voiture;Sablassou;228;379;Open;43.63419194;3.92229536
24/12/2025;11:23:51;Voiture;Saint Jean Le Sec;216;285;Open;43.57082225;3.8379312
24/12/2025;11:23:51;Voiture;Euromedecine;167;239;Open;43.63895359;3.82772365
24/12/2025;11:23:51;Voiture;Occitanie;461;615;Open;43.63456232;3.84859796
24/12/2025;11:23:51;Voiture;Vicarello;8;64;Open;43.63286;3.898411
24/12/2025;11:23:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;11:23:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;11:23:51;Voiture;Charles de Gaulle;150;260;Open;43.6285421;3.8977621
24/12/2025;11:23:51;Voiture;Polygone;836;1911;Open;43.607697;3.88515
24/12/2025;11:23:51;Voiture;Arc de Triomphe;61;440;Open;43.61100267;3.8732007
24/12/2025;11:23:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;11:33:51;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
24/12/2025;11:33:51;Voiture;Comedie;325;664;Open;43.60856092;3.87976196
24/12/2025;11:33:51;Voiture;Corum;280;480;Open;43.61388821;3.88225773
24/12/2025;11:33:51;Voiture;Europa;386;591;Open;43.60784971;3.89253074
24/12/2025;11:33:51;Voiture;Foch;344;620;Open;43.61074912;3.87657084
24/12/2025;11:33:51;Voiture;Gambetta;180;452;Open;43.60695138;3.87137436
24/12/2025;11:33:51;Voiture;Gare;449;656;Open;43.604024;3.87891
24/12/2025;11:33:51;Voiture;Triangle;216;434;Open;43.60923384;3.88184418
24/12/2025;11:33:51;Voiture;Pitot;288;590;Open;43.61224494;3.87019117
24/12/2025;11:33:51;Voiture;Circe;990;1200;Open;43.60495377;3.9178495
